000000001000000000000000000000100000000000000000000000000000000|113.0, -0.668267373931735|
111110111111111111011111011010111100001110101111111111111000011|3375.0, -6.827115932230983|
000000000000000000010100000000100000000000000000000000000000000|244.0, -1.7635466931363482|
001010111011000000010110110010100100000111101010100000001000001|1710.0, -5.765341845159901|
001000000000000000010100000000000000000000000000000000000000000|240.0, -1.0952793192046133|
000000000100000000000100010000100000000000000000000000000000000|248.0, -2.386804773285519|
001110111111000000011110110000110000000100101011110100001000001|1869.0, -6.120476779486901|
001010111011000000010111110000100000000100101010110000001000001|1517.0, -5.652451328797612|
101110111111001111011111110001110100000100111111111111101101011|3052.0, -6.736640687638914|
000000000000000000000000110000000000000000000000000001000000000|206.0, -0.9484797132350669|
001110111011010000010110110000100110000100101011110000001000001|1817.0, -5.985868083834728|
111110011101000000010110111000110001000100101011110110001100011|2170.0, -6.1469649167433555|
001000000101000000000100110000100000001000000010100000000000000|659.0, -3.665381289281512|
101110111011100010011110111001100110000101101011110110101100011|2562.0, -6.504289318066537|
001010110011000000010110110000100000000000101010100100010000001|1391.0, -5.312022014605053|
101110111101010011010110110011111000000100101011110100001100011|2359.0, -6.303293563239703|
101110111111100101011110111101100100000110101011111110101100011|2819.0, -6.697664059267365|
101111111011100001111110110010100000000100101011110110111111011|2716.0, -6.540411177712407|
001000110101000000000100010000100000000000100010100000000000000|684.0, -4.018224638811698|
001010110101010000010110110000100000000000101010100000000000001|1248.0, -5.232997624361151|
000000010000000000000100110000100000000000000000000000000000000|346.0, -2.402113362893154|
101010111111000000011110110110100000000100101011100100001110111|2213.0, -6.2526964612628415|
101110111111000001011110110011110001110101101111110111111101011|3022.0, -6.729327194507692|
001000000001000010000100010000100000000000000010100000000000000|496.0, -3.254950748454365|
001000110001000000010100010000100000000000100010100000000000001|818.0, -4.130576706680203|
000000010000000000000100010000100000000000100010000000000000000|381.0, -2.634749925572863|
001000010000000000000100010000100000000000000010100000000000000|447.0, -2.953843462584065|
001000110001000000010110010000100000000000101010100000000000000|876.0, -4.489692469330366|
001000110011000000010110011100100000000000101010100000000000000|1110.0, -4.843046491900443|
001000110011000000010110010000100000000000101010100000000010000|1034.0, -4.766277835184025|
001000010101000000000100110000100000000000100010100000000000000|709.0, -4.110887417178612|
001010110011000000010110110011100000000100101010100000000100001|1482.0, -5.424912530967341|
000000110000000000000100010000100000000000100000000000000000000|387.0, -2.75495671242334|
101110111111000111010111111001110100010100111011111010001101011|2794.0, -6.612741566745879|
001000000000000000010100010000110000000000000010100000000000000|536.0, -3.2637565060623257|
001000100001000000000100011000100000000000000010100000000000000|570.0, -3.4519261920212605|
001010010001000000000110110000100000000000101010100000000000001|974.0, -4.605316818422657|
101111111011010000011110110101110100010100101011110100001100011|2451.0, -6.47322269993767|
001000100001000000000100110000100000000000000010100000000000000|588.0, -3.588027100522233|
001000011011000000010110110010100000000000101010100000000000000|1130.0, -4.971831129913227|
000000100001000000010100010000100000000000000000000000000000000|418.0, -2.9204709138748006|
001000110101000000010100010000100000000000101010100000000000000|841.0, -4.328137682289959|
001010010101000010010110110000100000000000101010100010000000001|1229.0, -5.1127908375106745|
001000111011000000010110111000100000000100101010100000011010000|1461.0, -5.396345371310392|
101110111101010001010110111010110001100100101011110100101100011|2436.0, -6.3800622199561206|
001000110101000000010110010000100000000000101011100000000000000|999.0, -4.687253444940122|
001000110011000001010110110000100001000000101010100000000000000|1197.0, -4.979147400401416|
001010110001000000010110110000100000000000101010100001000000001|1201.0, -5.0354366487513955|
001110111011000000010111111111101000000100101011110000101100001|2171.0, -6.175527256913433|
001000110111000000010100010000100000000000100010100000000000000|866.0, -4.407162072533861|
001000000100000000000110010000100000000000001010100000000000000|576.0, -3.510520200843985|
001000110011000000010100110000100000000000100010100000000001000|975.0, -4.620031637751253|
001000110101000000000100110010100000000000100010100000000000000|857.0, -4.343984720391377|
101110111011100000011110110011110000000100101011110010111101011|2449.0, -6.405802482060234|
000000110100000000000100010000100000000000100000000000000000000|437.0, -2.952517688033096|
